archivo	iteracion_bayesiana	ganancia	corte
8102ZZa_034_09000.csv	34	117745000	9000
8102ZZa_034_09500.csv	34	117745000	9500
8102ZZa_034_10000.csv	34	117745000	10000
8102ZZa_034_10500.csv	34	117745000	10500
8102ZZa_034_11000.csv	34	117745000	11000
8102ZZa_034_11500.csv	34	117745000	11500
8102ZZa_034_12000.csv	34	117745000	12000
8102ZZa_034_12500.csv	34	117745000	12500
8102ZZa_034_13000.csv	34	117745000	13000
8102ZZa_034_13500.csv	34	117745000	13500
8102ZZa_034_14000.csv	34	117745000	14000
8102ZZa_034_14500.csv	34	117745000	14500
8102ZZa_034_15000.csv	34	117745000	15000
8102ZZa_031_09000.csv	31	117548000	9000
8102ZZa_031_09500.csv	31	117548000	9500
8102ZZa_031_10000.csv	31	117548000	10000
8102ZZa_031_10500.csv	31	117548000	10500
8102ZZa_031_11000.csv	31	117548000	11000
8102ZZa_031_11500.csv	31	117548000	11500
8102ZZa_031_12000.csv	31	117548000	12000
8102ZZa_031_12500.csv	31	117548000	12500
8102ZZa_031_13000.csv	31	117548000	13000
8102ZZa_031_13500.csv	31	117548000	13500
8102ZZa_031_14000.csv	31	117548000	14000
8102ZZa_031_14500.csv	31	117548000	14500
8102ZZa_031_15000.csv	31	117548000	15000
