Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado	0.113267592437941	0.0127590713979212	0.00518708289844071
ctrx_quarter	0.0811817129240302	0.00818734952138487	0.00401682639086567
mtarjeta_visa_consumo	0.0547542904294433	0.0123802628724644	0.00695828193693266
mcaja_ahorro	0.0544944429516282	0.00723986959904678	0.00781225290191985
mdescubierto_preacordado_tend6	0.0410239925144303	0.00244416340470256	0.00129677072461018
mcuentas_saldo	0.0320779279433026	0.0120665286706023	0.0116709365214916
mv_status07_tend6	0.0297589989258686	0.0017187669126286	0.000411171205364203
ctrx_quarter_normalizado_lag1	0.0242321292765128	0.00171138727016037	0.0016763133757156
mv_status06_tend6	0.0224650813775005	0.000965160306933514	0.000158142771293924
cpayroll_trx	0.0202640704394394	0.011118261050264	0.00303634120884334
foto_mes	0.0174457766101455	0.017982656048938	0.0166366195401208
mpasivos_margen	0.0170031698262268	0.00500526603061064	0.00477591169307651
mprestamos_personales	0.014528600652336	0.0137254717331055	0.00547173988676978
mv_status04	0.0139777350554437	0.00051331046331364	0.000411171205364203
mpayroll	0.0125993402452003	0.0127572215844732	0.00487079735585286
mprestamos_personales_tend6	0.0123273173175864	0.00845354135897525	0.0041749691621596
ctrx_quarter_avg6	0.0116382823230391	0.00124084275555363	0.00227725590663251
mpayroll_sobre_edad	0.0114376523591497	0.0114515128932787	0.00468102603030016
ccomisiones_mantenimiento_tend6	0.00967446139313478	0.00294959124446778	0.00319448398013727
ctrx_quarter_lag1	0.00947263647177287	0.00130765275186881	0.00177119903849195
mcuenta_corriente	0.00863852980454019	0.0037232568485117	0.00600942530916912
ctarjeta_visa	0.00856381454437478	2.50724428659125e-05	3.16285542587848e-05
cproductos_tend6	0.0084739865234747	0.00597075874243193	0.00281494132903185
mes	0.0079079827834736	0.00796099025812883	0.00850808109561312
ctarjeta_visa_trx	0.00765390491266995	0.00667405905696581	0.00642059651453332
mv_msaldopesos	0.00717719689590162	0.001110273381974	0.00202422747256223
mdescubierto_preacordado_delta1	0.00706257315222836	0.00667242525025933	0.00189771325552709
mdescubierto_preacordado	0.00627923352918378	0.000873152722109191	0.000822342410728406
mcaja_ahorro_lag1	0.004937152081753	0.00254045768634578	0.00414334060790081
mcuenta_corriente_tend6	0.00479455898061304	0.00346973674801416	0.00575639687509884
mcuentas_saldo_tend6	0.00453275155079824	0.00235821755315431	0.00398519783660689
cprestamos_personales_tend6	0.00446590284457116	0.00093333126913096	0.000695828193693266
mprestamos_personales_lag1	0.00431380867158046	0.000918447543994579	0.00117025650757504
Visa_fechaalta_tend6	0.00402310153790428	0.00521898854676202	0.00566151121232248
mactivos_margen	0.00396221302478579	0.00614917269219742	0.00711642470822659
tmobile_app	0.00382729139918545	0.0106139033680004	0.00534522566973464
mcaja_ahorro_dolares_delta1	0.00378464409107598	0.00961826565264667	0.00408008349938324
tcallcenter_tend6	0.00368334142410044	0.00384925664250504	0.00234051301515008
cproductos_delta1	0.00361822763684446	0.00243234468966043	0.000822342410728406
mcomisiones_mantenimiento_avg6	0.00338587996957873	0.00400362583921894	0.0029098269918082
mprestamos_personales_avg6	0.00335998963277776	0.00137526751791229	0.00136002783312775
mv_status05	0.00334594871361153	2.2750970020635e-05	9.48856627763545e-05
cprestamos_personales_avg6	0.00334007509354811	0.00235844230739295	0.0016763133757156
cpayroll_trx_lag1	0.0032577881262888	0.00150335866914311	0.000790713856469621
cprestamos_personales	0.00317630776967891	0.00183484916130085	0.00132839927886896
mcomisiones_mantenimiento_tend6	0.00315610792693754	0.00633914645931018	0.00544011133251099
mactivos_margen_avg6	0.00312668538624003	0.00452022888863871	0.00534522566973464
ccaja_ahorro	0.00301069049754703	0.00643651470784888	0.00246702723218522
internet	0.00300227971645625	0.00731697878551387	0.0041749691621596
Visa_fechaalta_lag1	0.0028696090234725	0.00112458132428058	0.00316285542587848
mv_msaldototal	0.00273782916568369	0.00102240844244462	0.00148654205016289
mcomisiones_mantenimiento	0.00261337124013978	0.00563873295989039	0.00430148337919474
mvr_mpagominimo_avg6	0.00257773784861835	0.00396965422899458	0.00385868361957175
Visa_msaldopesos	0.00253127810114721	0.00323727822189795	0.00338425530568998
ctarjeta_visa_trx_tend6	0.00247597377846535	0.00282492727792668	0.00366891229401904
mrentabilidad_avg6	0.00243892562372165	0.00212474869112919	0.00370054084827783
mv_fechaalta_tend6	0.00235995429752485	0.0022282476652997	0.00401682639086567
cliente_edad_avg6	0.00235931917831603	0.00868840431807003	0.00974159471170573
cproductos	0.00231010682558857	0.00731830135063187	0.00607268241768669
thomebanking	0.00229399117339321	0.00180633246201712	0.00246702723218522
mcuenta_corriente_avg6	0.00226261699883124	0.00546616798169861	0.00740108169655565
mtransferencias_recibidas	0.00225533335315528	0.00601646116946196	0.00464939747604137
mtarjeta_visa_debitos_automaticos_tend6	0.00212680262041399	0.00742115935901072	0.00436474048771231
mprestamos_personales_delta1	0.00211489372989361	0.00652932494607157	0.00259354144922036
cliente_edad	0.0020133865384416	0.00494632864054887	0.00749596735933201
ctrx_quarter_normalizado_delta1	0.00198860162529422	0.00408894384622109	0.00433311193345352
mactivos_margen_lag1	0.00196195242758396	0.00190292147787534	0.00392194072808932
mcuentas_saldo_delta1	0.00192675857852874	0.00849310276090115	0.00553499699528735
ccaja_ahorro_tend6	0.00185532830308103	0.00991458683292796	0.00170794192997438
mrentabilidad_annual	0.0018449568618334	0.00134340744060409	0.00325774108865484
cliente_edad_lag1	0.00184245738590832	0.00427891775442252	0.00733782458803808
ctarjeta_visa_debitos_automaticos_tend6	0.00183893019699251	0.0026481867807817	0.00278331277477307
Visa_fultimo_cierre_tend6	0.00179009648212027	0.00201922721098828	0.002498655786444
mpayroll_lag1	0.00178804497552371	0.00133252668298723	0.00129677072461018
ccaja_ahorro_avg6	0.00173945205968614	0.00274358952316946	0.00189771325552709
Visa_Fvencimiento_tend6	0.00171773784723748	0.00240136726302198	0.00303634120884334
mrentabilidad_annual_tend6	0.00169061799004984	0.00348380427524062	0.00559825410380492
mv_status01	0.00168776846581279	0.00122873170480375	0.000474428313881773
ccomisiones_mantenimiento_delta1	0.00168378853853161	0.00410038599562423	0.0016763133757156
