Feature	Gain	Cover	Frequency
ctrx_quarter	0.209584337532356	0.0178894579044723	0.0131861580410139
mcuentas_saldo	0.0426414593786063	0.013494123164423	0.0198230740230933
mtarjeta_visa_consumo	0.040339686642791	0.0122921460796514	0.0165616040820979
mcaja_ahorro	0.0313512413783915	0.00682137538260123	0.0121603731402169
mdescubierto_preacordado	0.0208639538428986	0.00181897364497304	0.00160443279355421
foto_mes	0.0197102327199729	0.0142979250102957	0.0164826975512673
ctarjeta_visa	0.0185668567691605	0.000590631053390873	0.000587415285071761
cpayroll_trx	0.0178808072813449	0.00849873065154675	0.00519906364250081
mprestamos_personales	0.0175542872188495	0.00660958344269729	0.00307735470239087
mpayroll	0.015407038475514	0.0112325124736941	0.00569003761211303
mcuenta_corriente	0.0121664459549278	0.00742899588322713	0.0107049860160093
mdescubierto_preacordado_delta1	0.0112337246786638	0.00435174181494852	0.00106962186236948
Master_status	0.0101086529105418	0.00173421065434277	0.000797832700619855
cproductos_delta1	0.00978468221520125	0.00428417098763734	0.00142908494726414
mpasivos_margen	0.00972649571243298	0.00879709201614583	0.010056198984736
mactivos_margen	0.00897598215039774	0.00824560095507661	0.0137472711491421
numero_de_cliente	0.00848824572148056	0.00977124289357279	0.0165703714744124
mrentabilidad_annual_delta1	0.00806444182016852	0.00593384160072169	0.0130283449793528
mcaja_ahorro_lag1	0.00802037212438361	0.00487208848122759	0.00934604020726115
cliente_edad_lag1	0.00799297710890098	0.00957669722570452	0.0142908494726414
ctrx_quarter_delta1	0.00796936318539112	0.0066839721982213	0.0119937926862413
Master_fechaalta	0.00778565184157136	0.0088756537339933	0.0118622818015238
cliente_edad	0.00777454842255455	0.00764966816715577	0.0127214862483452
mrentabilidad_annual	0.00743662339649216	0.00770672473581225	0.011257331731823
Visa_status	0.00643817023142509	0.00109966731179736	0.000631252246644281
Master_Fvencimiento	0.00642303144245543	0.00703513577615482	0.0117746078783787
Visa_fechaalta	0.00639002414854134	0.00590720715979438	0.0105384055620337
mcuentas_saldo_delta1	0.0062333707626672	0.00893456601703301	0.0108364969007268
Visa_Fvencimiento	0.00604045356177032	0.00782300429110196	0.0115291208935726
Visa_fechaalta_lag1	0.00600373548305932	0.00450693871975298	0.00952138805355123
Visa_Fvencimiento_lag1	0.0059796280665557	0.00499389364011402	0.0110644491009039
mrentabilidad_annual_lag1	0.00597786418929036	0.00671110319775304	0.00930220324568863
mprestamos_personales_delta1	0.00592599908490636	0.00985970505037085	0.00327900472562446
mcuenta_corriente_lag1	0.0058557711284579	0.006792210631082	0.00981071199992986
ctrx_quarter_lag1	0.00584148268668681	0.00763692142577407	0.00889013580690695
Master_Fvencimiento_lag1	0.00560733066692061	0.00405360477926364	0.0106699164467512
mcaja_ahorro_dolares_delta1	0.0055778171956306	0.00632993265769618	0.00611087244320922
chomebanking_trx	0.0055200912247095	0.00443480697215329	0.00938110977651917
Master_fechaalta_lag1	0.00505751501482255	0.00538507191685974	0.0102841511849131
mrentabilidad	0.00502087583100092	0.00397930806987081	0.00803093136008557
mcomisiones_mantenimiento	0.00485708018376962	0.00658481345325474	0.00499741361926722
mcaja_ahorro_delta1	0.00462295176388504	0.00740856754348083	0.00799586179082755
ccaja_ahorro	0.00459399395065516	0.0038593518042971	0.00274419379443972
Visa_mpagominimo	0.0045373122454598	0.00665326757087553	0.00891643798385046
mcuenta_corriente_delta1	0.00449139373621514	0.00785168313714936	0.00796079222156954
cliente_antiguedad_lag1	0.00442285066472791	0.00491232758559524	0.00865341621441535
Visa_mfinanciacion_limite	0.00441171278703131	0.00459367008739165	0.00633882464338632
mactivos_margen_delta1	0.0043450534281492	0.00441600158733944	0.00761886392130389
Visa_mpagospesos_lag1	0.0042695179891307	0.0057812892786004	0.00808353571397259
cliente_antiguedad	0.00423236686614781	0.00387429516030473	0.00879369449144741
mactivos_margen_lag1	0.00418425481081894	0.00746732447472379	0.00808353571397259
ctarjeta_visa_trx	0.00416364466623005	0.00683456633661933	0.0106173120928642
mtransferencias_recibidas	0.00412760563731773	0.00399964344379102	0.00632128985875731
mrentabilidad_delta1	0.00408982493348391	0.00424090624033321	0.00781174655222297
mcuentas_saldo_lag1	0.00395563244219347	0.00681184450771771	0.00740844650575579
Master_mfinanciacion_limite	0.00385137560014727	0.0044361189935685	0.0069700768900306
Visa_mpagominimo_lag1	0.00384736563925317	0.0057151711093828	0.0071892616978932
mrentabilidad_lag1	0.00378506920863819	0.00368797302102052	0.00712788995169167
chomebanking_trx_delta1	0.00375477400828168	0.0063282917687132	0.00717172691326419
cproductos	0.00359969611177413	0.00701851091130616	0.00723309865946572
ccomisiones_mantenimiento_delta1	0.0035734890782712	0.00556399189174628	0.00144661973189314
mtransferencias_recibidas_lag1	0.00349962272863458	0.00591083106426291	0.00687363557457106
mcomisiones_otras	0.00341480972558853	0.00393779733402229	0.00571633978905654
Visa_fultimo_cierre	0.0034006310224702	0.0042198748872979	0.00654047466661991
mcaja_ahorro_dolares_lag1	0.00332693860403193	0.00403230318921039	0.0060670354816367
chomebanking_trx_lag1	0.00326424519526069	0.00381557662632382	0.00709282038243365
Visa_mpagospesos_delta1	0.00325194118994862	0.00528794608082702	0.00773284002139244
Visa_msaldototal	0.00314468322516978	0.00252101899099465	0.00400669828772828
Master_mfinanciacion_limite_lag1	0.00309418506439493	0.00529241855712271	0.00581278110451608
Visa_mpagospesos	0.00309374204628365	0.00509182880765819	0.00659307902050693
mpasivos_margen_lag1	0.00306448799859821	0.00442245355362356	0.0065317072743054
Master_fultimo_cierre_lag1	0.00300134546997597	0.00415835457944726	0.00627745289718479
Visa_cconsumos_lag1	0.00297784556785184	0.00434680427959871	0.00548838758887944
mcomisiones	0.00294408759396495	0.00309163311482422	0.0053919462734199
mpasivos_margen_delta1	0.00292339535025964	0.00334625731550586	0.00625115072024128
Visa_Finiciomora	0.00288807688388385	0.00579046653079512	0.00121866753171604
Visa_mfinanciacion_limite_lag1	0.00280389519010112	0.00204379881121983	0.00484836794992066
mprestamos_personales_lag1	0.00277445637851393	0.0032347728194978	0.00156059583198169
Master_fultimo_cierre	0.00276228663619951	0.00274331852176526	0.00592675720460464
thomebanking	0.00274024029175338	0.00194096312604555	0.00153429365503818
Visa_mconsumospesos	0.00273108613014501	0.00252298591181946	0.00618977897403975
Visa_mpagominimo_delta1	0.00271099281904831	0.00289430805232878	0.00536564409647639
ccomisiones_otras	0.00270796590316437	0.00503997296037522	0.00484836794992066
Visa_fultimo_cierre_lag1	0.00269874152152446	0.00381654284245686	0.00614594201246723
mpayroll_lag1	0.00266616907189941	0.00629898239517104	0.00417327874170386
mcaja_ahorro_dolares	0.0026630693802025	0.00506173731024535	0.00549715498119394
mcuenta_debitos_automaticos	0.00263906515633857	0.00773817056060568	0.00428725484179241
Visa_mconsumospesos_lag1	0.00257430493669878	0.00248055716717887	0.00529550495796035
ccomisiones_mantenimiento	0.00255051799164088	0.00320208180445185	0.00141155016263513
mtarjeta_visa_debitos_automaticos_lag1	0.00249966108706738	0.00513551807079963	0.00466425271131607
Visa_mconsumospesos_delta1	0.00246525553922596	0.00339893445033398	0.00570757239674204
Visa_mconsumosdolares_lag1	0.00243273681921632	0.00373183219779461	0.00500618101158173
cmobile_app_trx	0.00232361633786285	0.00263035561620645	0.00475192663446111
