fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	experimento	cols	rows	iteracion
20220628 033405	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	83	TRUE	0.159256003894145	0.500030664168298	26687	736	0.0369623582266892	109287000	HT731_20	247	1658475	1
20220628 033825	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	50	TRUE	0.121501616406022	0.584274991685525	4982	1941	0.0299410551752468	113604000	HT731_20	247	1658475	1
20220628 033901	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	90	TRUE	0.169709997479338	0.826368788694963	24192	1937	0.0135678664431907	127865000	HT731_20	247	1658475	2
20220628 034154	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	59	TRUE	0.182379066279274	0.898346544969827	24219	1045	0.0368072285709786	108943000	HT731_20	247	1658475	2
20220628 034233	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	47	TRUE	0.249331659493619	0.416987439971417	29502	1557	0.0313707035495706	115182000	HT731_20	247	1658475	3
20220628 034824	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	117	TRUE	0.21423272588721	0.479011221434921	36174	1369	0.0446027881776293	97665000	HT731_20	247	1658475	4
20220628 034828	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	158	TRUE	0.0973554067978403	0.743809378435835	40584	1643	0.0313279507487702	117071000	HT731_20	247	1658475	3
20220628 035221	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	28	TRUE	0.263895163613372	0.512339154034853	10581	380	0.0204643258068245	119059000	HT731_20	247	1658475	4
20220628 035411	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	45	TRUE	0.125950803454849	0.592904816456139	3469	868	0.0417690085096789	97753000	HT731_20	247	1658475	5
20220628 035707	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	87	TRUE	0.276609858643031	0.472862916104496	39186	1212	0.0423832656645876	100462000	HT731_20	247	1658475	5
20220628 040923	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	415	TRUE	0.0457826164489379	0.960051172794774	32462	1037	0.0242409375083904	128038000	HT731_20	247	1658475	6
20220628 041625	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	178	TRUE	0.08566074234189	0.799263717764989	22451	299	0.0337164494844425	113123000	HT731_20	247	1658475	7
20220628 042042	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	56	TRUE	0.130305521136499	0.327710284106433	11657	439	0.0164499621164092	126512000	HT731_20	247	1658475	8
20220628 042404	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	27	TRUE	0.204375406990643	0.85658307663165	6749	973	0.0100690991690499	118934000	HT731_20	247	1658475	9
20220628 042941	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	138	TRUE	0.102181677590474	0.275956983817741	45916	1195	0.0309822269147844	118587000	HT731_20	247	1658475	10
20220628 044056	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	335	TRUE	0.0711384099875577	0.605888277934864	38181	718	0.0459617981721143	99761000	HT731_20	247	1658475	11
20220628 044439	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	66	TRUE	0.196636604423402	0.656836451534182	18984	1516	0.0377605829130819	108126000	HT731_20	247	1658475	12
20220628 045129	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	124	TRUE	0.0624236998824636	0.292634448623285	15540	1828	0.0287534608505666	120456000	HT731_20	247	1658475	13
20220628 045355	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	38	TRUE	0.278549495746149	0.890596743542701	41212	1304	0.0214545930905539	126569000	HT731_20	247	1658475	14
20220628 045850	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	74	TRUE	0.227906248502899	0.395351667627692	7630	1651	0.0104632500825877	119827000	HT731_20	247	1658475	15
20220628 051559	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	487	TRUE	0.0306806801817147	0.714264412922785	44692	550	0.0168642376530139	132816000	HT731_20	247	1658475	16
20220628 051841	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	26	TRUE	0.295411750022089	0.940254682656378	13759	378	0.0397952281263618	104001000	HT731_20	247	1658475	17
20220628 052144	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	64	TRUE	0.268639749534661	0.211089235041291	33598	64	0.0193630173249403	126657000	HT731_20	247	1658475	18
20220628 053139	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	167	TRUE	0.0234935863905121	0.749689074242488	48	176	0.0268428491268423	107242000	HT731_20	247	1658475	19
20220628 053813	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	130	TRUE	0.152752404680359	0.531637684386224	48059	2017	0.0486611325400493	95451000	HT731_20	247	1658475	20
20220628 054843	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	262	TRUE	0.0598068012674497	0.370956715644605	40497	1028	0.0161696113791369	132507000	HT731_20	247	1658475	21
20220628 060929	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	664	TRUE	0.0356165095717758	0.962994768504194	49146	1503	0.0171047808350044	132909000	HT731_20	247	1658475	22
20220628 061828	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	337	TRUE	0.0961581825486142	0.892797622591002	49991	828	0.0167359288085645	132006000	HT731_20	247	1658475	23
20220628 065256	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	1035	TRUE	0.0183462563869373	0.736593413026791	38203	1637	0.0181055076085789	133344000	HT731_20	247	1658475	24
20220628 072500	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	1158	TRUE	0.0156103812600183	0.952055043005359	41115	2048	0.0190144995923141	132866000	HT731_20	247	1658475	25
20220628 083805	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	2442	TRUE	0.0100557906327271	0.200086698034189	49841	459	0.0162703247099694	133847000	HT731_20	247	1658475	26
20220628 085446	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	628	TRUE	0.0438966354803974	0.200450768580198	42521	331	0.0130863262859746	131214000	HT731_20	247	1658475	27
20220628 094604	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	1897	TRUE	0.0102884630779773	0.200641551808744	40401	631	0.017870883181462	133515000	HT731_20	247	1658475	28
20220628 104641	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	1602	TRUE	0.0137647125210984	0.361491244221419	49987	622	0.0178011430396831	134240000	HT731_20	247	1658475	29
20220628 120013	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	2599	TRUE	0.0100769589771559	0.271918530788038	49962	1902	0.0179846234105476	133985000	HT731_20	247	1658475	30
20220628 124201	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	1609	TRUE	0.0130065405323428	0.625909690609037	49968	1846	0.0189252976155118	133336000	HT731_20	247	1658475	31
