fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	experimento	cols	rows	iteracion
20220628 125415	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	413	TRUE	0.0601697574589176	0.241036656777648	49966	547	0.0178466292570483	132999000	HT731_20	247	1658475	32
20220628 140655	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	1865	TRUE	0.0102946928880123	0.319153761020598	32408	2047	0.0171598948813223	134763000	HT731_20	247	1658475	33
20220628 145828	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	1819	TRUE	0.0100978537284994	0.201323100981919	29195	1882	0.0174273054960598	134273000	HT731_20	247	1658475	34
20220628 161226	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	2231	TRUE	0.0100389124393683	0.378954438514207	35642	1890	0.0169059106522631	134069000	HT731_20	247	1658475	35
20220628 170626	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	1778	TRUE	0.0101150470302971	0.256077618274641	31807	2046	0.0188344369129671	133297000	HT731_20	247	1658475	36
20220628 175454	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	1658	TRUE	0.0103991921752103	0.214897451262594	29104	2048	0.015164440772765	133926000	HT731_20	247	1658475	37
20220628 184033	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	1192	TRUE	0.0100843687074742	0.297438942873517	23763	2046	0.0169603115171736	134295000	HT731_20	247	1658475	38
20220628 200735	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	2278	TRUE	0.0100595529582798	0.565824968445539	49950	983	0.0174108503655481	133527000	HT731_20	247	1658475	39
20220628 211451	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	2299	TRUE	0.0103134627951007	0.326070037754821	49224	16	0.0171286539343923	134112000	HT731_20	247	1658475	40
20220628 223503	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	2683	TRUE	0.010323046243453	0.331112935718793	48251	328	0.0173015826570908	133536000	HT731_20	247	1658475	41
20220628 232416	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	2193	TRUE	0.013550065306489	0.90808890508281	49989	16	0.0178926312072837	132627000	HT731_20	247	1658475	42
20220629 002425	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	2078	TRUE	0.0100728490039524	0.263347068107814	46158	1465	0.0170746869216449	134359000	HT731_20	247	1658475	43
20220629 012810	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	2807	TRUE	0.0107232370745756	0.789987912598394	49828	17	0.00833546577906444	116724000	HT731_20	247	1658475	44
20220629 021234	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	1669	TRUE	0.0109824649569929	0.958887843040364	49966	774	0.0201677253528463	131943000	HT731_20	247	1658475	45
20220629 030012	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	1795	TRUE	0.0100509778515505	0.78730194473938	49999	2047	0.0237990384602053	129253000	HT731_20	247	1658475	46
20220629 030309	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	71	TRUE	0.29988916289147	0.957687948491563	49991	17	0.0162028480020016	127818000	HT731_20	247	1658475	47
20220629 033412	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	971	TRUE	0.0154432323528524	0.903977087852262	26810	2042	0.0173616233925745	132045000	HT731_20	247	1658475	48
20220629 034025	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	171	TRUE	0.0864025682050246	0.204200617925325	40054	2048	0.0168263537010065	131988000	HT731_20	247	1658475	49
20220629 044311	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	2147	TRUE	0.0103956173512998	0.287813688492366	48610	786	0.0165417754748106	134467000	HT731_20	247	1658475	50
20220629 132506	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	2365	TRUE	0.010129870828301	0.356727985010824	43577	2047	0.0173143833719321	134565000	HT731_20	247	1658475	56
20220629 143128	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	2310	TRUE	0.010058078006107	0.286844341098907	49993	1292	0.0142992932907689	133058000	HT731_20	247	1658475	57
20220629 143838	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	226	TRUE	0.157120493095568	0.288542798369439	49942	16	0.0148458674485787	129922000	HT731_20	247	1658475	58
20220629 153508	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	1846	TRUE	0.0103890371904824	0.267715020006387	30455	716	0.0146717769478876	133987000	HT731_20	247	1658475	59
20220629 162636	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	1623	TRUE	0.0102588774948185	0.271969355140449	29521	1410	0.0170588049719531	133302000	HT731_20	247	1658475	60
20220629 172521	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	2385	TRUE	0.0101331555541783	0.818258258374446	49854	1645	0.0184234277518517	132813000	HT731_20	247	1658475	61
20220629 172928	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	131	TRUE	0.127393113520301	0.999374663357555	33980	16	0.0180290852883123	131602000	HT731_20	247	1658475	62
20220629 173431	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	168	TRUE	0.127648811949692	0.994947071635215	49924	17	0.0222834675402276	129795000	HT731_20	247	1658475	63
20220629 174754	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	468	TRUE	0.0412603095618779	0.763819789897168	43914	2048	0.0177212760737032	132574000	HT731_20	247	1658475	64
20220629 190902	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	2242	TRUE	0.0102230908284424	0.321833113718953	44789	1703	0.017393874667511	134962000	HT731_20	247	1658475	65
20220629 202529	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	2549	TRUE	0.0100722093150682	0.327195901786542	46331	1650	0.0175313038032224	134831000	HT731_20	247	1658475	66
20220629 214030	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	1968	TRUE	0.0102094850827188	0.505295543801691	43983	1721	0.0176582630844484	134273000	HT731_20	247	1658475	67
20220629 214739	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	204	TRUE	0.0761244640271787	0.999859312504745	38237	1706	0.020687431006211	132024000	HT731_20	247	1658475	68
20220629 215527	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	217	TRUE	0.0552493110318969	0.999959707883287	37668	688	0.0146513892516799	131485000	HT731_20	247	1658475	69
20220629 222851	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	1231	TRUE	0.0149882316761516	0.9986781799851	44640	2042	0.0289897169222986	123470000	HT731_20	247	1658475	70
20220629 223335	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	131	TRUE	0.149696828142232	0.999970479138124	43260	1148	0.0181357747729418	131028000	HT731_20	247	1658475	71
20220629 233109	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	2101	TRUE	0.0101875656029059	0.202465031287628	26152	2047	0.0130675415210974	133105000	HT731_20	247	1658475	72
20220630 000448	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	184	TRUE	0.0102854057481981	0.339436357558008	370	1840	0.0139766723527288	130105000	HT731_20	247	1658475	73
20220630 010823	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	2185	TRUE	0.0104654161565937	0.292747127376462	46936	657	0.0150883701684614	133277000	HT731_20	247	1658475	74
20220630 015525	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	1758	TRUE	0.0103576911031642	0.228561841557321	28903	16	0.0141968540969943	132263000	HT731_20	247	1658475	75
20220630 030318	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	2621	TRUE	0.0100883981663875	0.200256970667387	29341	1660	0.01412900081998	133608000	HT731_20	247	1658475	76
20220630 040641	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	2452	TRUE	0.0105047422860493	0.219878856418507	49980	725	0.0219635436823543	130564000	HT731_20	247	1658475	77
20220630 045809	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	1766	TRUE	0.0101770231806907	0.638379993609306	31683	2048	0.0215303041512592	130583000	HT731_20	247	1658475	78
20220630 052229	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	796	TRUE	0.0208698513242131	0.999954634458837	32201	749	0.0174934865614788	132165000	HT731_20	247	1658475	79
20220630 054047	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	594	TRUE	0.0445252914789668	0.604291832847753	49932	17	0.0192480605299309	132345000	HT731_20	247	1658475	80
20220630 064412	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	2105	TRUE	0.0100908040389439	0.279528459767124	42021	1720	0.0172490394943831	134179000	HT731_20	247	1658475	81
20220630 075936	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	2519	TRUE	0.010176202884318	0.333227668634552	49237	1732	0.0171935666629147	133750000	HT731_20	247	1658475	82
20220630 090306	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	2044	TRUE	0.0101896831044793	0.324725152233597	45164	1128	0.0177952012699334	134574000	HT731_20	247	1658475	83
20220630 102039	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	2636	TRUE	0.0108322682754311	0.329889940050165	45157	1464	0.0178347902085999	133628000	HT731_20	247	1658475	84
20220630 111906	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	2258	TRUE	0.0104168174275809	0.202561082391868	45949	1084	0.0168782742346329	134229000	HT731_20	247	1658475	85
20220630 120550	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	1579	TRUE	0.0104152138190948	0.997922556335248	34374	1688	0.0136748860437741	132106000	HT731_20	247	1658475	86
20220630 123523	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	772	TRUE	0.0186229976367414	0.335547512332879	32144	728	0.0171379938294876	134149000	HT731_20	247	1658475	87
20220630 132758	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	1655	TRUE	0.0102232538249987	0.267761317477379	28589	1155	0.0127173721922807	131246000	HT731_20	247	1658475	88
20220630 143103	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	2220	TRUE	0.0100089501724016	0.26165770144398	45898	1945	0.0174244809407521	134805000	HT731_20	247	1658475	89
20220630 153904	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	1935	TRUE	0.0101977168407638	0.427633031136915	45478	797	0.0178429468469222	133845000	HT731_20	247	1658475	90
20220630 164741	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	1778	TRUE	0.0133498059437148	0.571501017448818	44251	2033	0.0173283021331008	133660000	HT731_20	247	1658475	91
20220630 173926	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	1704	TRUE	0.0102959829593817	0.272610936067639	46645	2046	0.01999253755144	132499000	HT731_20	247	1658475	92
20220630 180128	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	804	TRUE	0.0247275434146861	0.663069171283725	44710	1648	0.0178186677866828	133513000	HT731_20	247	1658475	93
