Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado	0.135111342214906	0.0138134188787525	0.00635167541642362
ctrx_quarter	0.0994693606183634	0.0108103980881863	0.00671462829736211
mcaja_ahorro	0.0403926474246685	0.0083302433770041	0.00908678462635297
mcuentas_saldo	0.0315859857102811	0.00971976030781459	0.0111348758830773
mtarjeta_visa_consumo	0.0242840582036252	0.0111542810477613	0.00859420571650787
cpayroll_trx	0.0222097858285541	0.0103480936961944	0.00277399701860134
mprestamos_personales	0.0189224307422101	0.0197859656322166	0.00508134033313889
ctarjeta_visa_trx	0.0160478393500776	0.00733870614549617	0.00824421543846004
mpayroll	0.0141730121004365	0.0125010364156284	0.00394063127876077
mcuenta_corriente	0.0139785794472445	0.00350125518854433	0.00578132088923456
mpasivos_margen	0.0132587559158177	0.00478137475874028	0.00480912567243503
mpayroll_sobre_edad	0.0130243815315728	0.0112482505967214	0.00429062155680861
ctrx_quarter_normalizado_lag1	0.0129554378748792	0.00238583640520796	0.00337027675157172
mdescubierto_preacordado_delta1	0.0116020570380491	0.0106014009524884	0.00156847494976991
mcaja_ahorro_lag1	0.0111380242717998	0.00278198956137663	0.00488690128977899
ctrx_quarter_normalizado_mean6	0.00918228702495773	0.00221095038333894	0.003473977574697
mprestamos_personales_mean6	0.00880203002163077	0.00690575561763361	0.00243696934344416
mv_msaldototal	0.007755747400639	0.00265663047846105	0.00377211744118219
cprestamos_personales_mean6	0.00721371359107868	0.00313400869692599	0.0016721757728952
ctrx_quarter_mean6	0.00709422633713391	0.00233876377201393	0.0036036036036036
mvr_mpagominimo	0.00578146591410294	0.00217847632345815	0.00270918400414803
cprestamos_personales	0.00573652471548016	0.0017417282333874	0.00141292371508199
mdescubierto_preacordado_mean6	0.00571142101054709	0.00146085195827567	0.00142588631797265
cproductos_delta1	0.0055511032058174	0.00325705884263653	0.000933307408127552
mactivos_margen	0.00548355961103182	0.00713479015083817	0.00668870309158079
ccomisiones_mantenimiento_delta1	0.00541762998818923	0.00470897828579573	0.00204809125672435
mprestamos_personales_lag1	0.00531848874489947	0.00200825076643533	0.00139996111219133
mv_msaldopesos	0.00513791560374095	0.00287945509655274	0.00418692073368332
mv_status02_mean6	0.00494304537762697	0.00162955254815676	0.000842569187892929
mv_status04	0.00487295336073295	0.000579202642495095	0.000337027675157172
mpasivos_margen_mean6	0.00481714435792434	0.00195100858273376	0.00456283621751248
mcaja_ahorro_dolares_delta1	0.00473101624198203	0.00722494199001849	0.00562576965454663
mactivos_margen_mean6	0.00472953453737948	0.00298637583605962	0.00489986389266965
cliente_edad_mean6	0.00449219418348897	0.00826350327101939	0.0111737636917493
mv_status01_mean6	0.00449111485628943	0.00146132019804023	0.000777756173439627
mcuentas_saldo_mean6	0.00440178763869799	0.00361439744714517	0.00532762978806144
mcomisiones_mantenimiento	0.00433227441136566	0.00547820619248229	0.00372026702961955
cpayroll_trx_lag1	0.00430499252728676	0.00210284004449557	0.00116663426015944
mcaja_ahorro_mean6	0.00420533245029441	0.00376354940940459	0.00622204938751701
Visa_msaldopesos	0.00401283011872332	0.00436314305203899	0.00431654676258993
ctarjeta_visa	0.00400747513698879	0.000129080390390869	0.000103700823125284
ccomisiones_mantenimiento_mean6	0.00397550433082187	0.00613568852633632	0.00480912567243503
mv_status07	0.00392266537815321	0.000390739707714153	0.000207401646250567
ctarjeta_master_mean6	0.00385963514551075	3.63843464767335e-05	5.18504115626418e-05
Visa_msaldototal	0.00371829502404756	0.00379045980665801	0.00432950936548059
mrentabilidad_mean6	0.00370897142554856	0.00173030239253115	0.00400544429321408
mcuenta_corriente_mean6	0.00364986007826533	0.00432777411766607	0.00753127227947372
mdescubierto_preacordado	0.0036257792735443	0.00108592681908034	0.000751830967658306
mtransferencias_recibidas	0.00350483724346974	0.00559271797588471	0.0045887614232938
Visa_status_mean6	0.00344784739292303	0.00276162164168324	0.000985157819690194
cliente_edad_lag1	0.00329641725983153	0.00614741454050569	0.00828310324713203
mrentabilidad_annual_mean6	0.00322887474835122	0.00288741823294093	0.00495171430423229
mrentabilidad_annual_delta1	0.0032045384306435	0.00416876795264906	0.00703869336962862
mprestamos_personales_delta1	0.0031414289424685	0.00683976186441087	0.00264437098969473
cpayroll_trx_mean6	0.00312148741147359	0.00261937889379292	0.00198327824227105
mrentabilidad_annual	0.00308947531863369	0.00150488460345576	0.00372026702961955
sb_call_hombk	0.00306474808032126	0.00510061787586787	0.00269622140125737
mcomisiones_otras_mean6	0.00303899573246694	0.00182221293618665	0.00480912567243503
mcuentas_saldo_delta1	0.0029892502625372	0.0108235920697222	0.0064553762395489
cliente_edad	0.00298156922791575	0.00606412894270954	0.00799792598353749
Visa_mpagominimo_mean6	0.00293026779260277	0.00127760125126611	0.00257955797524143
ccomisiones_mantenimiento	0.00271266674310868	0.00579744063850313	0.00206105385961501
ctrx_quarter_delta1	0.00271144654898646	0.00436083947051752	0.00558688184587465
numero_de_cliente	0.00261316793984733	0.0033256986860974	0.00654611445978352
sb_call_hombk_mean6	0.00260910724297963	0.00521652762020136	0.00374619223540087
foto_mes	0.00255042733523666	0.00244253638970503	0.00383693045563549
mtransferencias_emitidas_mean6	0.00254867524081108	0.0062950525020231	0.00808866420377212
ccallcenter_trx	0.00253669396764269	0.00712894340207864	0.00246289454922548
thomebanking	0.00248839599595161	0.00368109075465669	0.00194439043359907
mcomisiones_mantenimiento_mean6	0.00247538913661263	0.00209393532792722	0.003473977574697
mcaja_ahorro_delta1	0.00243950772831508	0.00448223993816864	0.00487393868688833
ctransferencias_recibidas_mean6	0.00242540167656631	0.00529581979078978	0.00703869336962862
mv_mpagominimo	0.00239322932416106	0.00229985766366792	0.0028517726359453
mpayroll_lag1	0.00235377076325673	0.00479716803204105	0.00447209799727785
mcuenta_corriente_delta1	0.00233042817273042	0.00611148657477988	0.00477023786376304
thomebanking_mean6	0.00230967479534068	0.00178476191606325	0.0029165856503986
mcomisiones_mean6	0.00225394760276407	0.00232405438705705	0.00499060211290427
Visa_mpagospesos_mean6	0.00223661061798952	0.00361522604790501	0.00394063127876077
chomebanking_trx_delta1	0.0021608917785606	0.00658410422812215	0.00467949964352842
mcuentas_saldo_lag1	0.00215401908967751	0.00350792518238012	0.00487393868688833
mtarjeta_visa_debitos_automaticos_mean6	0.00212841167119225	0.00221403245172387	0.00356471579493162
chomebanking_trx_mean6	0.0021067389476115	0.00189609000060896	0.00407025730766738
cproductos	0.0020780900559669	0.00618350126399482	0.00427765895391795
mactivos_margen_delta1	0.00207558497779127	0.00463197771019886	0.00374619223540087
cprestamos_personales_lag1	0.00207527578406432	0.000243827951387158	0.000337027675157172
mrentabilidad	0.0020508706399876	0.00224680451714109	0.00399248169032342
ctrx_quarter_lag1	0.00204328221881203	0.00155365231050337	0.00294251085617992
