Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado	0.124774601474401	0.00953710447099913	0.00462616146880627
ctrx_quarter	0.0853221146281357	0.00514876491576835	0.00383761121844156
mtarjeta_visa_consumo	0.0489897090563971	0.00978480326406512	0.0062689744903994
mcuentas_saldo	0.0474312829431367	0.0127674010335346	0.0131293616685723
mcaja_ahorro	0.0416111320359461	0.00664373172087396	0.00666324961558175
mcaja_ahorro_lag1	0.0233100608034581	0.00365824424108561	0.00604555191946274
Visa_status_mean6	0.0214385822334873	0.00369299478314567	0.00101197282130137
cpayroll_trx	0.0214240428086956	0.00865899894695312	0.00285192340548568
mdescubierto_preacordado	0.0205572186998281	0.00122624762595075	0.0011959678797198
mprestamos_personales	0.0165761352416165	0.0121046215113645	0.00576955933183509
mpasivos_margen	0.0164692090107612	0.00578402278366792	0.00484958403974293
foto_mes	0.016027881958366	0.0269117753195398	0.0181366557583882
mcuenta_corriente	0.0155061007586254	0.00415875163183255	0.00738608734508273
ctarjeta_visa_trx	0.0141231683187119	0.00569545136569801	0.00611126444032646
mdescubierto_preacordado_delta1	0.0118863732809965	0.00623996021956812	0.00173481055080235
mpayroll_sobre_edad	0.0104529967181963	0.00820452212621086	0.00331191105153176
mv_status07	0.0100166366458688	0.000149129537622519	0.000183995058418431
mpayroll	0.00991683136588362	0.00945819628055241	0.00378504120175058
mv_status04	0.00898139501512565	0.000920668894378956	0.000407417629355097
mprestamos_personales_mean6	0.0087832668306889	0.00421212687044168	0.00315420100145882
cproductos_delta1	0.00846608072880059	0.00479449095778348	0.00139310544231098
ctrx_quarter_mean6	0.00717577085137004	0.00221590043882553	0.00270735585958549
cprestamos_personales_mean6	0.00709455737605354	0.00308076801683581	0.0025365033053398
mdescubierto_preacordado_mean6	0.00616799682818117	0.00335553937495089	0.00260221582620353
Visa_Finiciomora_mean6	0.00558063040400242	0.00205412051733786	0.00111711285468333
mactivos_margen_mean6	0.00511162567603956	0.00312012811795676	0.00540156921499823
mactivos_margen	0.00500859521624158	0.00604436618853497	0.00759636741184665
Visa_Finiciomora	0.00492263390385367	0.00616771774454058	0.00131425041727451
mv_status01	0.00474472248197967	0.000906568534062212	0.000565127679428038
mcaja_ahorro_dolares_delta1	0.00468283062485589	0.0085270377348865	0.00456044894794254
mv_status01_mean6	0.00447083974195925	0.0014556566719512	0.00113025535885608
ccaja_ahorro	0.0042266425844235	0.00794928897866969	0.0027993533887947
mv_Finiciomora	0.0041176215924822	0.00610382789895565	0.00159024300490215
mv_status02_mean6	0.00407456875688574	0.00146481365550077	0.00106454283799235
mprestamos_personales_delta1	0.00403965384457676	0.0124521871425159	0.00459987646046078
