experimento	fecha	cols	rows	lambda_l1	lambda_l2	min_gain_to_split	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	max_depth	max_bin	seed	extra_trees	drop_rate	max_drop	skip_drop	metric	first_metric_only	objective	boost_from_average	force_row_wise	feature_pre_filter	boosting	num_threads	verbosity	verbose	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	num_iterations	prob_corte	estimulos	ganancia	iteracion_bayesiana
8101HTa	20220701 151811	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0854556840624474	0.920547404272342	828	4018	62	0.0158234263895388	10782	13818000	72
8101HTa	20220701 152026	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0988618607252184	0.863257575254748	707	2494	119	0.00807260359744636	12134	12106000	73
8101HTa	20220701 152119	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0563972407245636	0.165217367060971	903	4746	172	0.0136747129461248	11734	13706000	74
8101HTa	20220701 152155	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.195172905810531	0.218210928347707	422	4610	36	0.0116307682021612	12614	14146000	75
8101HTa	20220701 152336	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.176532060448779	0.799812874208856	717	387	35	0.00573532152366492	10558	10802000	76
8101HTa	20220701 152526	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0837711371257529	0.982837307361607	834	3811	56	0.0229061882444192	8520	13560000	77
8101HTa	20220701 152651	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0916240876915958	0.175879165340634	451	453	429	0.000282560371948193	9164	14236000	78
8101HTa	20220701 152804	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.285346062048273	0.33169325672877	91	4081	319	0.00270807368763244	9650	10990000	79
8101HTa	20220701 153604	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0260621764220484	0.901632195077906	952	6155	1234	0.00661936095157049	10438	13562000	80
8101HTa	20220701 153802	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.170972142756134	0.792488310616324	603	191	76	0.00152148312004897	10030	9770000	81
8101HTa	20220701 153931	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.252623351291139	0.642167845299724	534	7834	83	0.0135003151387588	10978	11222000	82
8101HTa	20220701 154141	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.15313175343236	0.730735204925574	332	4538	170	0.00706701412179197	9738	12582000	83
8101HTa	20220701 154329	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.197708712812616	0.77025847955551	898	472	28	0.00605422898935227	11888	12472000	84
8101HTa	20220701 154457	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.156394692157311	0.926589186676079	455	3532	27	0.0230512590794735	8086	13274000	85
8101HTa	20220701 154740	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0670985019459669	0.853748968570563	854	4324	235	0.0117706119826762	10336	13064000	86
8101HTa	20220701 154900	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.22278092184226	0.341383242442389	354	3954	187	0.00207576085786759	9958	12362000	87
8101HTa	20220701 154948	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.216594672386032	0.517671355470899	43	6979	80	0.0203789191216209	9888	12192000	88
