Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado	0.180313770157671	0.010553370510885	0.00525589563472153
mcaja_ahorro	0.0793293614893951	0.00792415042841839	0.00753888610135474
mtarjeta_visa_consumo	0.0610701320591296	0.0117573881986038	0.00678625188158555
mcuentas_saldo	0.037152979193233	0.01503671001005	0.013785750125439
ctrx_quarter	0.0303739104119681	0.00298199149111784	0.00302308078273959
mcuenta_corriente	0.0273152444318036	0.00634337832475671	0.00805318615153036
cpayroll_trx	0.0256281672849253	0.0117391790416657	0.00395132965378826
Visa_status_mean6	0.0220986033636733	0.00312817575000593	0.00102860010035123
mdescubierto_preacordado	0.0210525031000001	0.0012339472555985	0.00109131961866533
mprestamos_personales	0.0184259169170789	0.01097063423749	0.00768941294530858
foto_mes	0.0170341163764958	0.0261442100023001	0.023118414450577
mdescubierto_preacordado_delta1	0.015389528395456	0.00800591003646744	0.00242097340692424
mprestamos_personales_mean6	0.0124624151115891	0.00493657998520724	0.00396387355745108
mv_status04	0.0115557287967181	0.00108404728725785	0.000363773206221776
Visa_Finiciomora_mean6	0.0102533516886336	0.0027100147871567	0.00116658304064225
mv_status01_mean6	0.00970125118467667	0.00153089002790617	0.00109131961866533
mpayroll_sobre_edad	0.00951979238781361	0.0100672111826238	0.00421475163070748
mpasivos_margen	0.00931127283205074	0.00611575450842366	0.00651028600100351
cproductos_delta1	0.00883159311417876	0.0065763296430332	0.00171851480180632
ctarjeta_visa_trx	0.00857131635831676	0.00557476466557958	0.00573256397390868
mv_Finiciomora	0.00800305142690563	0.00910874663602007	0.00243351731058706
mpayroll	0.00771999091507308	0.00755574358896226	0.0037255393878575
mv_Finiciomora_lag1	0.00770858653938813	0.00577968694977316	0.0023331660812845
mv_status07	0.00755132606313541	0.000543770770349276	0.000250878073256397
cprestamos_personales_mean6	0.00748917151026178	0.00320090428007266	0.00332413447064727
mv_status01	0.0071542718421822	0.00074134652710894	0.000451580531861515
mdescubierto_preacordado_mean6	0.00661790061529337	0.00316567317405782	0.00260913196186653
mactivos_margen_mean6	0.0054723109523302	0.00319745686330573	0.00588309081786252
mv_mpagospesos	0.00542293968335714	0.000413189445081164	0.00110386352232815
Visa_Finiciomora	0.00541033350436412	0.00484439942936657	0.00134219769192173
mcuenta_corriente_mean6	0.00523413564674148	0.00765474303844001	0.0117410938283994
mactivos_margen	0.00489751490876549	0.0077783649176252	0.0118289011540391
mcaja_ahorro_dolares_delta1	0.0046766514787684	0.00809373656347732	0.00452834922227797
ctrx_quarter_delta1	0.00462549136642294	0.00349635269097006	0.00731309583542398
mprestamos_personales_delta1	0.00452475095748966	0.0197479600729014	0.00701204214751631
mpasivos_margen_mean6	0.00442737462491834	0.00179719024579483	0.00446562970396387
ccaja_ahorro	0.00427731122325813	0.00934054858911013	0.00277220270948319
mv_status02	0.00419050387572866	0.000345941060392875	0.000175614651279478
mautoservicio	0.00384987498460446	0.00283818924194194	0.0015805318615153
Master_status	0.00381070129300889	0.00017274765296305	0.000200702458605118
cproductos	0.00380725148533692	0.00798030323054485	0.00806573005519318
Master_status_mean6	0.00378194440788157	0.000277959155695968	0.000188158554942298
ctrx_quarter_normalizado_delta1	0.00343858325552749	0.00302138694591961	0.00417711991971902
mcomisiones_mantenimiento	0.00342910827032517	0.00986216743701986	0.00692423482187657
mv_status07_delta1	0.00324502291817636	0.000781461756373765	0.000401404917210236
ccomisiones_mantenimiento_delta1	0.00319493064168013	0.00372779140529125	0.00199448068238836
mrentabilidad_mean6	0.00301321619291845	0.00218656960594154	0.00435273457099849
mv_status02_mean6	0.00294884833268588	0.000982667991718592	0.000664826894129453
ccomisiones_mantenimiento_mean6	0.00283641302439683	0.00689987882788249	0.00615905669844456
mrentabilidad_annual_delta1	0.0028336570998212	0.00497811613903243	0.00879327646763673
mtransferencias_recibidas	0.0026692748557409	0.00480823693536623	0.00432764676367286
mv_mpagospesos_mean6	0.00266580243959175	0.00189471832795396	0.00234570998494732
mcuentas_saldo_delta1	0.00266492987246569	0.0118416776234044	0.0080155544405419
cliente_edad_mean6	0.00266241194193198	0.00655017496681614	0.0108253888610135
mcuenta_corriente_lag1	0.00265260568245609	0.00263425858855701	0.00521826392373307
mcuenta_corriente_delta1	0.00265217944921481	0.00355221132145166	0.00437782237832413
mv_Finiciomora_mean6	0.0025743568944669	0.00387921212309569	0.00206974410436528
thomebanking_mean6	0.00248503869826343	0.00250311556259982	0.0042272955343703
mv_msaldototal	0.00247590243930649	0.00145154127824518	0.00169342699448068
cliente_edad	0.00244752352540999	0.00640937094355401	0.00901906673356749
