Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado	0.152262376334285	0.0224498864001438	0.00589970501474926
ctrx_quarter	0.0799304595522318	0.0162904092035872	0.00471976401179941
mcaja_ahorro	0.0619803931355019	0.00564345357517972	0.00678466076696165
mdescubierto_preacordado_tend6	0.0587819432091341	0.00216868717954273	0.00176991150442478
mtarjeta_visa_consumo	0.0357653299716351	0.0183237171584057	0.00781710914454277
ctrx_quarter_normalizado_min3	0.0322468060124934	0.00559315155375763	0.00265486725663717
mcuentas_saldo_min3	0.0234684189815254	0.0155693702221554	0.00707964601769912
mcaja_ahorro_avg3	0.0214302309254573	0.00354642881603364	0.00457227138643068
rf_018_104	0.0175689230157718	0.00613157248137664	0.00132743362831858
mcuentas_saldo	0.0168681733370858	0.0111257685923518	0.0104719764011799
mprestamos_personales	0.012862149736003	0.0113297301093512	0.0117994100294985
mprestamos_personales_tend6	0.0124933807148281	0.00825000243738766	0.00943952802359882
mes	0.0119140531823808	0.00611150029490834	0.0112094395280236
cpayroll_trx	0.0111608268972199	0.00936543385097671	0.00427728613569322
rf_001_085	0.00990738522889036	0.0190331753388588	0.00457227138643068
mv_status07_tend6	0.00934894937648911	0.00399854169099661	0.00191740412979351
rf_003_087	0.00909902621134206	0.00724754256228171	0.00132743362831858
mprestamos_personales_min3	0.00848019061636247	0.00272585547796946	0.00530973451327434
mpayroll	0.0081693625131552	0.0100263557024675	0.00545722713864307
foto_mes	0.00800102510439906	0.0107819256626451	0.0213864306784661
ctarjeta_visa_trx	0.00797682977235305	0.00440858661531538	0.00383480825958702
rf_007_088	0.00788925574445091	0.00331981868755339	0.000589970501474926
mpasivos_margen	0.0075321172713342	0.0064234509508756	0.00634218289085546
rf_034_059	0.00710237271684568	8.32994918960993e-05	0.000442477876106195
mv_status07	0.00686582863414077	0.000152834558815499	0.00103244837758112
ccomisiones_mantenimiento_tend6	0.00671974520347304	0.00683215904058758	0.0084070796460177
mpayroll_sobre_edad	0.00612973845594278	0.0146628674282405	0.00663716814159292
mcuenta_corriente	0.00603437029147821	0.0006422526038334	0.00368731563421829
mv_status01_avg6	0.00596625180841377	0.000259135035842339	0.00132743362831858
cproductos_tend6	0.00583575711732519	0.0117691815708092	0.00693215339233038
cprestamos_personales	0.00577071846575803	0.00575389840338232	0.00427728613569322
mv_status06_tend6	0.00554416945815677	0.00386079254860824	0.00162241887905605
mtarjeta_visa_consumo_min3	0.00517979856581049	0.00290082292621068	0.0028023598820059
mcuentas_saldo_tend6	0.00507145170842157	0.00165650798200234	0.00545722713864307
mv_status06_delta2	0.00483607625769818	0.00105898661802773	0.00147492625368732
rf_046_111	0.0048157623638367	0.0125440823670009	0.00309734513274336
cproductos_delta2	0.00446238517205156	0.000408237711863004	0.00117994100294985
mprestamos_personales_delta2	0.00437616124679408	0.00347462653880849	0.00486725663716814
mactivos_margen_min3	0.00435837508757829	0.00394807468222215	0.00545722713864307
mdescubierto_preacordado_delta1	0.00429847927185909	0.00682851566094203	0.00693215339233038
rf_041_119	0.00420819516446181	0.0208564380046382	0.00383480825958702
rf_019_120	0.00388110988491868	0.00427471631465491	0.00147492625368732
mdescubierto_preacordado_delta2	0.00386060805540404	0.00191229574132821	0.00147492625368732
rf_001_067	0.00382721289299259	0.00303512263103989	0.000737463126843658
cproductos_tend3	0.00360791640315026	0.00223150256290534	0.00191740412979351
mpasivos_margen_avg3	0.00354511809609431	0.000457472232336317	0.00176991150442478
rf_028_107	0.00347902357260796	0.0153651563072858	0.00427728613569322
mcuenta_corriente_delta2	0.00336722462882118	0.00513741496651562	0.00339233038348083
ccaja_ahorro	0.00335700150521117	0.00909403785106404	0.00663716814159292
mpayroll_sobre_edad_min3	0.00313402530038428	0.00429128770988485	0.00324483775811209
mcaja_ahorro_dolares_delta1	0.00313115812661765	0.0139514698269234	0.00781710914454277
cpayroll_trx_min3	0.00293861057007489	0.00114538481278026	0.00117994100294985
tcallcenter_tend6	0.00277518431231122	0.00648665913525262	0.00457227138643068
mtarjeta_visa_debitos_automaticos_tend6	0.0026776702686394	0.00517706219213217	0.00707964601769912
rf_017_091	0.00255646424142172	0.000163046838874616	0.000737463126843658
mpayroll_sobre_edad_delta2	0.00247405374287542	0.00806809623297938	0.00663716814159292
Visa_Finiciomora	0.00238877447841328	0.00642054181957967	0.00648967551622419
rf_004_086	0.0023799102103907	0.00431847784408173	0.00206489675516224
ctarjeta_visa_trx_tend6	0.00237485484968012	0.00215894582364833	0.00412979351032448
rf_032_068	0.00236256457238136	0.00708045845011565	0.00176991150442478
ccomisiones_mantenimiento_tend3	0.00231454022005257	0.00488367370593801	0.00545722713864307
mprestamos_personales_tend3	0.00222077684227628	0.00542599041107275	0.00457227138643068
mcomisiones_mantenimiento	0.00220388221681707	0.0104833264169579	0.00678466076696165
rf_040_063	0.00218852082107699	0.00104962877578022	0.00250737463126844
cproductos	0.00210780592044631	0.00454145114870527	0.0056047197640118
Visa_fechaalta_min3	0.00209460010749232	0.000868147605014802	0.00442477876106195
cpayroll_trx_avg3	0.00201697887576428	0.000865576643159658	0.00147492625368732
chomebanking_trx_delta1	0.00200753814225424	0.00374754730594124	0.00530973451327434
thomebanking	0.00199262521849495	0.00619333620694682	0.00486725663716814
mcomisiones_otras_tend6	0.00196775305019106	0.00154695310213421	0.00265486725663717
ccaja_ahorro_tend6	0.00192961966612929	0.00573430533581477	0.00412979351032448
mactivos_margen	0.00189297433441427	0.0101335750825629	0.00663716814159292
rf_042_098	0.00185140934251684	0.000992440444501757	0.00221238938053097
ctarjeta_visa_debitos_automaticos_tend6	0.00184895741943528	0.00412160040323521	0.00486725663716814
ccaja_ahorro_delta1	0.00184067211869064	0.00815576242655592	0.00427728613569322
mcomisiones_mantenimiento_tend6	0.00179669075838681	0.0100207188167001	0.00678466076696165
mtarjeta_visa_consumo_tend6	0.0017626981754997	0.00148088276961458	0.0028023598820059
mv_msaldopesos	0.00175997788386866	0.000829015008821868	0.00250737463126844
mplazo_fijo_dolares	0.00175863101870486	0.0172732333984981	0.00648967551622419
mv_fechaalta_tend6	0.00175402699850278	0.00244243670764749	0.00501474926253687
sb_call_hombk_tend6	0.00171744959294761	0.00160238011147876	0.00324483775811209
mtransferencias_recibidas	0.00169776763385553	0.00727107839051831	0.00442477876106195
ctrx_quarter_normalizado_delta1	0.00168131051814726	0.00180847389879708	0.00383480825958702
rf_024_083	0.0016719056894301	0.0090536028381557	0.00176991150442478
