archivo	iteracion_bayesiana	ganancia	corte
8106ZZa_002_09000.csv	2	15128000	9000
8106ZZa_002_09500.csv	2	15128000	9500
8106ZZa_002_10000.csv	2	15128000	10000
8106ZZa_002_10500.csv	2	15128000	10500
8106ZZa_002_11000.csv	2	15128000	11000
8106ZZa_002_11500.csv	2	15128000	11500
8106ZZa_002_12000.csv	2	15128000	12000
8106ZZa_002_12500.csv	2	15128000	12500
8106ZZa_002_13000.csv	2	15128000	13000
8106ZZa_002_13500.csv	2	15128000	13500
8106ZZa_002_14000.csv	2	15128000	14000
8106ZZa_002_14500.csv	2	15128000	14500
8106ZZa_002_15000.csv	2	15128000	15000
8106ZZa_008_09000.csv	8	15024000	9000
8106ZZa_008_09500.csv	8	15024000	9500
8106ZZa_008_10000.csv	8	15024000	10000
8106ZZa_008_10500.csv	8	15024000	10500
8106ZZa_008_11000.csv	8	15024000	11000
8106ZZa_008_11500.csv	8	15024000	11500
8106ZZa_008_12000.csv	8	15024000	12000
8106ZZa_008_12500.csv	8	15024000	12500
8106ZZa_008_13000.csv	8	15024000	13000
8106ZZa_008_13500.csv	8	15024000	13500
8106ZZa_008_14000.csv	8	15024000	14000
8106ZZa_008_14500.csv	8	15024000	14500
8106ZZa_008_15000.csv	8	15024000	15000
