Feature	Gain	Cover	Frequency
mv_status07_tend6	0.121964687416056	0.00599930279434063	0.00164059936563491
ctrx_quarter	0.11106793079835	0.00680109819407539	0.00459367822377775
ctrx_quarter_avg6	0.0643287681637902	0.00299244931323347	0.00295307885814284
ctrx_quarter_normalizado	0.0477944915166572	0.0106064706003562	0.0043749316416931
mpasivos_margen	0.0363113205815558	0.00745032076101906	0.00590615771628568
mcaja_ahorro	0.0296331272016269	0.00636869885917834	0.00798425024608991
mtarjeta_visa_consumo	0.0264349232040021	0.00901473973221752	0.00667177075358198
cpayroll_trx	0.023855457862686	0.0105864218071877	0.00349994531335448
mcuentas_saldo	0.0227891139600561	0.0103971150338134	0.00984359619380947
mdescubierto_preacordado	0.0178851707949192	0.000946360105627612	0.000765613037296292
ctarjeta_visa_trx	0.017748029812889	0.00681962497822021	0.00634365088045499
mprestamos_personales	0.0166869367524269	0.00949420046946185	0.00514054467898939
mdescubierto_preacordado_tend6	0.0162052000799697	0.00245604196039521	0.00109373291042327
mcuentas_saldo_lag1	0.0128200658713768	0.00255080402050254	0.00448430493273543
mpayroll_sobre_edad	0.0119896286953877	0.0120214246823522	0.00470305151482008
foto_mes	0.0115245900178911	0.0130367738132679	0.0125779284698677
ccomisiones_mantenimiento_tend6	0.0108521015303414	0.00380655212308802	0.00262495898501586
cprestamos_personales_tend6	0.0104580080165649	0.000842319543774477	0.000546866455211637
mpayroll	0.0100849052243093	0.0123931046324374	0.00426555835065077
mprestamos_personales_tend6	0.00841978464187534	0.00676109533376773	0.00360931860439681
mdescubierto_preacordado_delta1	0.00801984522798065	0.0045925323439107	0.00142185278355026
mactivos_margen	0.00540156556252215	0.00555390972146698	0.00732801049983594
mcuentas_saldo_tend6	0.00510730925554624	0.00335695333073959	0.00514054467898939
ctrx_quarter_normalizado_avg6	0.00502584991815081	0.00226357145386892	0.00306245214918517
mprestamos_personales_lag1	0.00497187646100422	0.000307555658488333	0.000546866455211637
mcuenta_corriente	0.00424206265565094	0.00228844197627361	0.00371869189543913
ccaja_ahorro	0.00389263234057756	0.00495661503398567	0.00284370556710051
tcallcenter_tend6	0.00361968188384844	0.00559173795108864	0.0024062124029312
mv_msaldopesos	0.00361271664242204	0.00153878424800486	0.00229683911188888
mv_msaldototal_avg6	0.0035853254896522	0.00121617877367593	0.00153122607459258
mrentabilidad_avg6	0.00343348972546606	0.00212999438623912	0.00371869189543913
mprestamos_personales_avg6	0.00336867010347466	0.000907948410156475	0.000984359619380947
mcomisiones_mantenimiento_tend6	0.00333150218972899	0.00698748124564819	0.00524991797003172
cpayroll_trx_lag1	0.00322560162736583	0.00112299509329687	0.000656239746253965
mcaja_ahorro_dolares_delta1	0.00321650529158177	0.00968617293790745	0.00382806518648146
mes	0.0031799204341419	0.003419200535988	0.00481242480586241
mcuenta_corriente_avg6	0.00312997893696262	0.00354960922133558	0.00765613037296292
mcuenta_corriente_tend6	0.00309154655543088	0.00426409802249982	0.00623427758941267
ctrx_quarter_tend6	0.00301935052714112	0.00238227595374986	0.00459367822377775
cprestamos_personales	0.00301150828662211	0.00138418555669656	0.000656239746253965
cproductos	0.00291876612117337	0.0071830870094035	0.0055780378431587
mtarjeta_visa_debitos_automaticos_tend6	0.00290847656009811	0.00576804401279096	0.00426555835065077
cliente_edad	0.00271089681769637	0.00691965392178753	0.00831237011921689
thomebanking_avg6	0.00262559809340256	0.00156439223869938	0.0031718254402275
mcomisiones_mantenimiento_avg6	0.00254199790545964	0.0034637374605961	0.00262495898501586
ctarjeta_visa_debitos_automaticos_tend6	0.00246852671832445	0.00249028629171633	0.00328119873126982
mtransferencias_recibidas	0.00246302481356858	0.00468885999863805	0.00339057202231215
