archivo	iteracion_bayesiana	ganancia	corte
8115ZZa_018_09000.csv	18	14996000	9000
8115ZZa_018_09500.csv	18	14996000	9500
8115ZZa_018_10000.csv	18	14996000	10000
8115ZZa_018_10500.csv	18	14996000	10500
8115ZZa_018_11000.csv	18	14996000	11000
8115ZZa_018_11500.csv	18	14996000	11500
8115ZZa_018_12000.csv	18	14996000	12000
8115ZZa_018_12500.csv	18	14996000	12500
8115ZZa_018_13000.csv	18	14996000	13000
8115ZZa_018_13500.csv	18	14996000	13500
8115ZZa_018_14000.csv	18	14996000	14000
8115ZZa_018_14500.csv	18	14996000	14500
8115ZZa_018_15000.csv	18	14996000	15000
8115ZZa_semillerio_018_09000.csv	18	14996000	9000
8115ZZa_semillerio_018_09500.csv	18	14996000	9500
8115ZZa_semillerio_018_10000.csv	18	14996000	10000
8115ZZa_semillerio_018_10500.csv	18	14996000	10500
8115ZZa_semillerio_018_11000.csv	18	14996000	11000
8115ZZa_semillerio_018_11500.csv	18	14996000	11500
8115ZZa_semillerio_018_12000.csv	18	14996000	12000
8115ZZa_semillerio_018_12500.csv	18	14996000	12500
8115ZZa_semillerio_018_13000.csv	18	14996000	13000
8115ZZa_semillerio_018_13500.csv	18	14996000	13500
8115ZZa_semillerio_018_14000.csv	18	14996000	14000
8115ZZa_semillerio_018_14500.csv	18	14996000	14500
8115ZZa_semillerio_018_15000.csv	18	14996000	15000
